ceni_site_vote_ID,latitude,longitude,source
100001,-4.3035428,15.316227,Google API
100002,-4.3030943,15.314037,Google API
100005,-4.3186078,15.316086,Google API
100009,-4.3136023,15.314811,Google API
100014,-4.3071863,15.318544,Google API
100015,-4.3076922,15.284034,Google API
100017,-4.3653242,15.350987,Google API
100019,-4.3063017,15.307518,Google API
100021,-4.3197081,15.318035,Google API
100022,-4.3183103,15.317208,Google API
100027,-4.3183103,15.317208,Google API
100028,-4.3259425,15.310003,Google API
100030,-4.3149732,15.310007,Google API
100031,-4.3136023,15.314811,Google API
100034,-4.3394818,15.26155,Google API
100039,-4.3438764,15.275449,Google API
100050,-4.3238719,15.300738,Google API
100075,-4.3425192,15.308431,Google API
100087,-4.3473055,15.313478,Google API
100091,-4.4458317,15.414165,Google API
100094,-4.3416097,15.308711,Google API
100096,-4.3422306,15.306362,Google API
100097,-4.3524299,15.307823,Google API
100098,-4.3412149,15.315352,Google API
100099,-4.3419434,15.306422,Google API
100107,-4.3596343,15.321694,Google API
100110,-4.3540317,15.299417,Google API
100116,-4.3348877,15.31672,Google API
100121,-4.3513378,15.308852,Google API
100123,-4.337693,15.310855,Google API
100124,-4.3513378,15.308852,Google API
100127,-4.3407483,15.313532,Google API
100129,-4.337693,15.310855,Google API
100137,-4.3581873,15.301325,Google API
100139,-4.3547195,15.299624,Google API
100140,-4.3576667,15.297865,Google API
100143,-4.3581873,15.301325,Google API
100147,-4.3165788,15.274983,Google API
100151,-4.400438,15.298737,Google API
100152,-4.4067408,15.291414,Google API
100164,-4.3759947,15.287826,Google API
100173,-4.3023141,15.311618,Google API
100174,-4.3991898,15.357241,Google API
100189,-4.392133,15.313165,Google API
100191,-4.349317,15.23863,Google API
100192,-4.3791506,15.4847,Google API
100196,-4.3697729,15.340883,Google API
100200,-4.3968257,15.258511,Google API
100205,-4.3509348,15.238442,Google API
100206,-4.3494632,15.238611,Google API
100213,-4.3991898,15.357241,Google API
100217,-4.3533944,15.321367,Google API
100220,-4.350927,15.238372,Google API
100224,-4.3671514,15.302365,Google API
100234,-4.3697706,15.340862,Google API
100240,-4.3509724,15.238624,Google API
100241,-4.3509348,15.238442,Google API
100243,-4.3509348,15.238442,Google API
100249,-4.3948141,15.261879,Google API
100251,-4.4027535,15.248243,Google API
100252,-4.4027535,15.248243,Google API
100254,-4.4027535,15.248243,Google API
100261,-4.3738233,15.253493,Google API
100268,-4.3181709,15.279419,Google API
100270,-4.3550738,15.317384,Google API
100274,-4.3697706,15.340862,Google API
100282,-4.3846761,15.259886,Google API
100289,-4.349317,15.23863,Google API
100290,-4.3452871,15.213441,Google API
100296,-4.3853969,15.284068,Google API
100297,-4.3967674,15.314181,Google API
100298,-4.4098805,15.255789,Google API
100309,-4.4229052,15.381373,Google API
100310,-4.4280707,15.381379,Google API
100313,-4.4268454,15.390062,Google API
100316,-4.3871655,15.318064,Google API
100319,-4.3991898,15.357241,Google API
100330,-4.4280707,15.381379,Google API
100350,-4.3051294,15.30852,Google API
100351,-4.349317,15.23863,Google API
100360,-4.4084479,15.424156,Google API
100364,-4.3165141,15.288022,Google API
100365,-4.3423779,15.267964,Google API
100368,-4.3120127,15.273606,Google API
100374,-4.3702827,15.322588,Google API
100382,-4.4318716,15.388615,Google API
100385,-4.3494632,15.238611,Google API
100393,-4.4371801,15.415561,Google API
100404,-4.4084479,15.424156,Google API
100406,-4.4371801,15.415561,Google API
100415,-4.3991898,15.357241,Google API
100441,-4.4084479,15.424156,Google API
100449,-4.4078548,15.427514,Google API
100451,-4.4280707,15.381379,Google API
100459,-4.4371801,15.415561,Google API
100462,-4.3697729,15.340883,Google API
100472,-4.3968308,15.408817,Google API
100474,-4.4004802,15.406072,Google API
